,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,Animation,Mystery,Romance,Fantasy,Family,Talk-Show,Sci-Fi,\N,Western,Film-Noir,Documentary,Adventure,Biography,Adult,Short,War,Crime,News,Drama,Reality-TV,Horror,Musical,Music,History,Comedy,Game-Show,Sport,Thriller,Action
12224,tt0012397,movie,Little Lord Fauntleroy,Little Lord Fauntleroy,0,1921,\N,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12235,tt0012408,movie,The Love Light,The Love Light,0,1921,\N,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12358,tt0012532,movie,Orphans of the Storm,Orphans of the Storm,0,1921,\N,150,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
12573,tt0012752,movie,The Three Musketeers,The Three Musketeers,0,1921,\N,119,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12696,tt0012877,movie,Across the Continent,Across the Continent,0,1922,\N,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
12732,tt0012914,movie,The Bachelor Daddy,The Bachelor Daddy,0,1922,\N,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12734,tt0012916,movie,Back Home and Broke,Back Home and Broke,0,1922,\N,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12756,tt0012938,movie,Beyond the Rocks,Beyond the Rocks,0,1922,\N,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12888,tt0013071,movie,The Dictator,The Dictator,0,1922,\N,60,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12892,tt0013075,movie,Dr. Jack,Dr. Jack,0,1922,\N,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12910,tt0013093,movie,East Is West,East Is West,0,1922,\N,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12921,tt0013104,movie,The Eternal Flame,The Eternal Flame,0,1922,\N,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
12956,tt0013140,movie,Foolish Wives,Foolish Wives,0,1922,\N,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
13015,tt0013201,movie,Grandma's Boy,Grandma's Boy,0,1922,\N,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13043,tt0013229,movie,Her Gilded Cage,Her Gilded Cage,0,1922,\N,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13064,tt0013251,movie,The Hottentot,The Hottentot,0,1922,\N,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13184,tt0013372,movie,Manslaughter,Manslaughter,0,1922,\N,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13192,tt0013380,movie,The Masquerader,The Masquerader,0,1922,\N,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13213,tt0013402,movie,Monte Cristo,Monte Cristo,0,1922,\N,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13216,tt0013405,movie,More to Be Pitied Than Scorned,More to Be Pitied Than Scorned,0,1922,\N,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13242,tt0013433,movie,Nice People,Nice People,0,1922,\N,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13258,tt0013450,movie,Oliver Twist,Oliver Twist,0,1922,\N,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13265,tt0013458,movie,One Exciting Night,One Exciting Night,0,1922,\N,128,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13280,tt0013473,movie,Our Leading Citizen,Our Leading Citizen,0,1922,\N,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13295,tt0013488,movie,Peg o' My Heart,Peg o' My Heart,0,1922,\N,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13297,tt0013490,movie,Penrod,Penrod,0,1922,\N,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13360,tt0013556,movie,Robin Hood,Robin Hood,0,1922,\N,143,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13400,tt0013597,movie,Sherlock Holmes,Sherlock Holmes,0,1922,\N,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13414,tt0013611,movie,Smilin' Through,Smilin' Through,0,1922,\N,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13427,tt0013624,movie,The Song of Love,The Song of Love,0,1923,\N,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13439,tt0013637,movie,The Storm,The Storm,0,1922,\N,\N,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13486,tt0013686,movie,To Have and to Hold,To Have and to Hold,0,1922,\N,\N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13514,tt0013716,movie,Turn to the Right,Turn to the Right,0,1922,\N,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
13517,tt0013719,movie,Under Two Flags,Under Two Flags,0,1922,\N,80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13555,tt0013758,movie,While Satan Sleeps,While Satan Sleeps,0,1922,\N,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13598,tt0013802,movie,The Young Rajah,The Young Rajah,0,1922,\N,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13613,tt0013817,movie,Adam's Rib,Adam's Rib,0,1923,\N,\N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13673,tt0013877,movie,Bluebeard's 8th Wife,Bluebeard's 8th Wife,0,1923,\N,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13682,tt0013886,movie,Brass,Brass,0,1923,\N,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13716,tt0013920,movie,The Cheat,The Cheat,0,1923,\N,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13747,tt0013951,movie,The Covered Wagon,The Covered Wagon,0,1923,\N,98,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13817,tt0014021,movie,Enemies of Women,Enemies of Women,0,1923,\N,105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13819,tt0014023,movie,The Eternal City,The Eternal City,0,1923,\N,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
13882,tt0014086,movie,The Glimpses of the Moon,The Glimpses of the Moon,0,1923,\N,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13899,tt0014103,movie,Grumpy,Grumpy,0,1923,\N,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13937,tt0014142,movie,The Hunchback of Notre Dame,The Hunchback of Notre Dame,0,1923,\N,133,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
13999,tt0014205,movie,Little Old New York,Little Old New York,0,1923,\N,110,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14092,tt0014302,movie,Name the Man,Name the Man,0,1924,\N,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14095,tt0014306,movie,The Ne'er-Do-Well,The Ne'er-Do-Well,0,1923,\N,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14144,tt0014358,movie,The Pilgrim,The Pilgrim,0,1923,\N,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14165,tt0014379,movie,Prodigal Daughters,Prodigal Daughters,0,1923,\N,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14214,tt0014429,movie,Safety Last!,Safety Last!,0,1923,\N,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
14225,tt0014440,movie,Scaramouche,Scaramouche,0,1923,\N,124,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14263,tt0014478,movie,Six Days,Six Days,0,1923,\N,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14282,tt0014499,movie,The Spanish Dancer,The Spanish Dancer,0,1923,\N,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14286,tt0014503,movie,The Spoilers,The Spoilers,0,1923,\N,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14297,tt0014515,movie,Strangers of the Night,Strangers of the Night,0,1923,\N,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14313,tt0014532,movie,The Ten Commandments,The Ten Commandments,0,1923,\N,136,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14321,tt0014542,movie,Three Wise Fools,Three Wise Fools,0,1923,\N,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14346,tt0014568,movie,Under the Red Robe,Under the Red Robe,0,1923,\N,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
14379,tt0014601,movie,Where the Pavement Ends,Where the Pavement Ends,0,1923,\N,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14382,tt0014604,movie,The White Rose,The White Rose,0,1923,\N,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14383,tt0014605,movie,The White Sister,The White Sister,0,1923,\N,143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14389,tt0014611,movie,Why Worry?,Why Worry?,0,1923,\N,63,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14397,tt0014619,movie,Within the Law,Within the Law,0,1923,\N,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
